CID,Smiles,KovatsRetention
5352263,CCCCCCCCC/C=C/CCCCCC,1706.3
5352263,CCCCCCCCC/C=C/CCCCCC,1722
5352264,CCCCCCCC/C=C/CCCCCC,1609
5352264,CCCCCCCC/C=C/CCCCCC,1608.6
5352267,CCCCCCCC(=O)OCC/C=C\CC,1838
5352267,CCCCCCCC(=O)OCC/C=C\CC,1837
5352267,CCCCCCCC(=O)OCC/C=C\CC,1837
5352267,CCCCCCCC(=O)OCC/C=C\CC,1837
5352267,CCCCCCCC(=O)OCC/C=C\CC,1838
5352267,CCCCCCCC(=O)OCC/C=C\CC,1838
5352271,COC(=O)CCCCCC/C=C/CO,2283
5352273,COC(=O)/C(=C/Cl)/Cl,1438
5352273,COC(=O)/C(=C/Cl)/Cl,1458
5352274,COC(=O)/C=C\Cl,1374
5352274,COC(=O)/C=C\Cl,1382
5352275,COC(=O)/C(=C\Cl)/Cl,1464
5352275,COC(=O)/C(=C\Cl)/Cl,1473
5352276,COC(=O)/C=C/Cl,1189
5352276,COC(=O)/C=C/Cl,1191
5352277,C/C=C/C1=CC=CC=C1C,1464
5352278,CCCC/C=C/CCCCCCCCCCO,2423
5352281,CCCCCCCC/C=C/CCCCCCO,2413
5352284,CCCC/C=C/CCCCCCCCO,2211
5352285,CCCCSC/C(=C/Cl)/C,1587.8
5352286,CCCCCSC/C(=C/Cl)/C,1679.4
5352288,CCO/C(=C/Cl)/C,1113.8
5352289,C/C(=C\Cl)/OC,989.5
5352290,CCCCC/C(=C(\C)/Cl)/C=O,1537.6
5352291,CCCC/C(=C(\C)/Cl)/C=O,1446.2
5352292,CC/C(=C(\C)/Cl)/C=O,1296.3
5352293,CCCCN(CCCC)/C(=C/Cl)/C,1487.4
5352294,CCN(CC)/C(=C/Cl)/C,1155.7
5352295,C/C(=C\Cl)/N(C)C,1050.7
5352296,CCCCCN(CCCCC)/C(=C/Cl)/C,1628.6
5352297,CCN/C(=C/Cl)/C,1226.6
5352298,CCN(C)/C(=C/Cl)/C,1052.5
5352299,C/C(=C\Cl)/OC1=CC=CC=C1,1828.5
5352301,C/C(=C/Cl)/CO,1566.7
5352302,CCC/C(=C(\CC)/Cl)/C=O,1396.4
5352303,C/C(=C\Cl)/COC(=O)C,1392.6
5352304,C/C(=C\Cl)/CSC(=O)C,1623.6
5352305,CCCCSC/C(=C\Cl)/C,1610.3
5352306,CCCCCSC/C(=C\Cl)/C,1697.2
5352307,CCCSC/C(=C\Cl)/C,1166.2
5352308,CCOC/C(=C\Cl)/C,1150.9
5352309,C/C(=C/Cl)/COC,1022.9
5352310,CCCCC/C(=C\Cl)/C=O,1590.6
5352311,CCCC/C(=C\Cl)/C=O,1492.3
5352312,CC/C(=C(/C)\Cl)/C=O,1312.6
5352313,CCCCN(CCCC)C/C(=C\Cl)/C,1487.4
5352314,CCN(CC)C/C(=C\Cl)/C,1154.1
5352315,C/C(=C/Cl)/CN(C)C,1048.2
5352316,CCCCCN(CCCCC)C/C(=C\Cl)/C,1651.3
5352317,CCNC/C(=C\Cl)/C,1262.9
5352318,CCN(C)C/C(=C\Cl)/C,1051.8
5352319,C/C(=C/Cl)/OC1=CC=CC=C1,1897.3
5352321,CCC/C(=C(\CCC)/Cl)/C=O,1412.2
5352322,C/C(=C/Cl)/COC(=O)C,1382.4
5352323,C/C(=C/Cl)/CSC(=O)C,1567.4
5352331,CCCC(=O)OCC/C=C/CC,1466
5352331,CCCC(=O)OCC/C=C/CC,1452
5352331,CCCC(=O)OCC/C=C/CC,1457
5352331,CCCC(=O)OCC/C=C/CC,1467
5352331,CCCC(=O)OCC/C=C/CC,1454
5352331,CCCC(=O)OCC/C=C/CC,1452
5352331,CCCC(=O)OCC/C=C/CC,1431
5352367,CCCCC/C=C\C=C\C=C,1387
5352367,CCCCC/C=C\C=C\C=C,1388
5352367,CCCCC/C=C\C=C\C=C,1387
5352367,CCCCC/C=C\C=C\C=C,1403
5352367,CCCCC/C=C\C=C\C=C,1387
5352367,CCCCC/C=C\C=C\C=C,1402
5352367,CCCCC/C=C\C=C\C=C,1380
5352367,CCCCC/C=C\C=C\C=C,1392
5352367,CCCCC/C=C\C=C\C=C,1402
5352367,CCCCC/C=C\C=C\C=C,1382
5352367,CCCCC/C=C\C=C\C=C,1384
5352368,CC/C=C\C/C=C\C=C\C=C,1449
5352371,CCCCC/C=C\CCC(=O)OC,1635
5352371,CCCCC/C=C\CCC(=O)OC,1629
5352371,CCCCC/C=C\CCC(=O)OC,1612
5352371,CCCCC/C=C\CCC(=O)OC,1623
5352371,CCCCC/C=C\CCC(=O)OC,1621
5352371,CCCCC/C=C\CCC(=O)OC,1622
5352401,C/C=C/CCCCCCCCCOC(=O)C,1942
5352401,C/C=C/CCCCCCCCCOC(=O)C,1948
5352401,C/C=C/CCCCCCCCCOC(=O)C,1951
5352428,CCCCC/C=C\CC1CCC(=O)O1,2435
5352428,CCCCC/C=C\CC1CCC(=O)O1,2405
5352428,CCCCC/C=C\CC1CCC(=O)O1,2385
5352428,CCCCC/C=C\CC1CCC(=O)O1,2393
5352428,CCCCC/C=C\CC1CCC(=O)O1,2390
5352428,CCCCC/C=C\CC1CCC(=O)O1,2394
5352428,CCCCC/C=C\CC1CCC(=O)O1,2425
5352428,CCCCC/C=C\CC1CCC(=O)O1,2396
5352428,CCCCC/C=C\CC1CCC(=O)O1,2380
5352428,CCCCC/C=C\CC1CCC(=O)O1,2393
5352428,CCCCC/C=C\CC1CCC(=O)O1,2425
5352428,CCCCC/C=C\CC1CCC(=O)O1,2396
5352429,CCCCCC1C(O1)/C=C/C=O,2045
5352429,CCCCCC1C(O1)/C=C/C=O,2042
5352429,CCCCCC1C(O1)/C=C/C=O,2045
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1727
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1737
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1737
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1761
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1766
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1775
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1761
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1745
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1745
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1771
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1766
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1758
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1790
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1762
5352437,CC1=CC/C(=C(\C)/CCC=C(C)C)/CC1,1773
5352438,CCCC(=O)OCC/C=C\CC,1452
5352438,CCCC(=O)OCC/C=C\CC,1448
5352438,CCCC(=O)OCC/C=C\CC,1442
5352438,CCCC(=O)OCC/C=C\CC,1448
5352438,CCCC(=O)OCC/C=C\CC,1448
5352438,CCCC(=O)OCC/C=C\CC,1460
5352438,CCCC(=O)OCC/C=C\CC,1473
5352438,CCCC(=O)OCC/C=C\CC,1450
5352438,CCCC(=O)OCC/C=C\CC,1451
5352438,CCCC(=O)OCC/C=C\CC,1485
5352438,CCCC(=O)OCC/C=C\CC,1447
5352438,CCCC(=O)OCC/C=C\CC,1464
5352438,CCCC(=O)OCC/C=C\CC,1464
5352438,CCCC(=O)OCC/C=C\CC,1466
5352438,CCCC(=O)OCC/C=C\CC,1464
5352438,CCCC(=O)OCC/C=C\CC,1459
5352438,CCCC(=O)OCC/C=C\CC,1466
5352438,CCCC(=O)OCC/C=C\CC,1461
5352438,CCCC(=O)OCC/C=C\CC,1471
5352438,CCCC(=O)OCC/C=C\CC,1451
5352438,CCCC(=O)OCC/C=C\CC,1450
5352438,CCCC(=O)OCC/C=C\CC,1459
5352438,CCCC(=O)OCC/C=C\CC,1429
5352438,CCCC(=O)OCC/C=C\CC,1456
5352438,CCCC(=O)OCC/C=C\CC,1459
5352438,CCCC(=O)OCC/C=C\CC,1456
5352438,CCCC(=O)OCC/C=C\CC,1454
5352438,CCCC(=O)OCC/C=C\CC,1459
5352438,CCCC(=O)OCC/C=C\CC,1448
5352438,CCCC(=O)OCC/C=C\CC,1453
5352438,CCCC(=O)OCC/C=C\CC,1448
5352438,CCCC(=O)OCC/C=C\CC,1453
5352447,CC/C=C(\C)/CC,731
5352447,CC/C=C(\C)/CC,735
5352448,CCC/C=C\C=C\CCCCCCC=O,2032
5352448,CCC/C=C\C=C\CCCCCCC=O,2031.8
5352448,CCC/C=C\C=C\CCCCCCC=O,2032
5352449,CC(=C)/C=C/CCC/C(=C/CCC(C)(C=C)O)/C,2170
5352449,CC(=C)/C=C/CCC/C(=C/CCC(C)(C=C)O)/C,2174
5352449,CC(=C)/C=C/CCC/C(=C/CCC(C)(C=C)O)/C,2170
5352449,CC(=C)/C=C/CCC/C(=C/CCC(C)(C=C)O)/C,2177
5352449,CC(=C)/C=C/CCC/C(=C/CCC(C)(C=C)O)/C,2172
5352449,CC(=C)/C=C/CCC/C(=C/CCC(C)(C=C)O)/C,2187
5352450,CCCCOC(=O)/C(=C/C)/C,1417
5352450,CCCCOC(=O)/C(=C/C)/C,1419
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1903
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1936
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1910
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1914
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1949
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1949
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1969
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1969
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1913.3
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1914
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1969
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1945
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1949
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1951
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1949
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1926
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1927
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1928
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1928
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1925
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1963
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1963
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1914
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1945
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1945
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1930
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1961
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1957
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1928
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1981
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1958
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1958
5352451,CC(C)(/C=C/CC(C)(C=C)O)O,1907
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2326
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2327
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2310
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2327
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2344
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2311
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2325
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2310
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2312
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2317
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2327
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2316
5352452,C/C(=C/CCC(C)(C=C)O)/CO,2343
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2685
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2660
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2715
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2720
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2846
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2854
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2797
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2829
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2846
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2850
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2752
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2890
5352454,CC\1=CC(=O)CC(/C1=C/CC(C)O)(C)C,2894
5352456,CCC/C=C/COC(=O)C1=CC=CC=C1,2127
5352456,CCC/C=C/COC(=O)C1=CC=CC=C1,2081
5352456,CCC/C=C/COC(=O)C1=CC=CC=C1,2104
5352459,CCC/C=C/COC(=O)C(C)CC,1470
5352460,CCC/C=C/COC(=O)CC(C)C,1490
5352461,CCC/C=C/COC(=O)CCC,1466
5352461,CCC/C=C/COC(=O)CCC,1485
5352461,CCC/C=C/COC(=O)CCC,1461
5352461,CCC/C=C/COC(=O)CCC,1463
5352461,CCC/C=C/COC(=O)CCC,1461
5352461,CCC/C=C/COC(=O)CCC,1476
5352461,CCC/C=C/COC(=O)CCC,1461
5352461,CCC/C=C/COC(=O)CCC,1463
5352461,CCC/C=C/COC(=O)CCC,1475
5352461,CCC/C=C/COC(=O)CCC,1896
5352461,CCC/C=C/COC(=O)CCC,2067
5352462,CCC/C=C/COC(=O)C(C)C,1391
5352462,CCC/C=C/COC(=O)C(C)C,1393
5352462,CCC/C=C/COC(=O)C(C)C,1390
5352462,CCC/C=C/COC(=O)C(C)C,1390
5352463,CCC/C=C/COC(=O)CC,1392
5352463,CCC/C=C/COC(=O)CC,1370
5352464,CCC/C=C\COC(=O)C(C)CC,1463
5352464,CCC/C=C\COC(=O)C(C)CC,1482
5352464,CCC/C=C\COC(=O)C(C)CC,1482
5352464,CCC/C=C\COC(=O)C(C)CC,1482
5352464,CCC/C=C\COC(=O)C(C)CC,1482
5352464,CCC/C=C\COC(=O)C(C)CC,1482
5352464,CCC/C=C\COC(=O)C(C)CC,1482
5352464,CCC/C=C\COC(=O)C(C)CC,1448
5352464,CCC/C=C\COC(=O)C(C)CC,1491
5352465,CCC/C=C\COC(=O)CC(C)C,1477
5352465,CCC/C=C\COC(=O)CC(C)C,1494
5352465,CCC/C=C\COC(=O)CC(C)C,1494
5352466,CCC/C=C\COC(=O)CCC,1460
5352467,CCC/C=C\COC(=O)C(C)C,1380
5352467,CCC/C=C\COC(=O)C(C)C,1377
5352467,CCC/C=C\COC(=O)C(C)C,1364
5352467,CCC/C=C\COC(=O)C(C)C,1378
