CID,Smiles,MeltingPoint,Pressure
702,CCO,-114,
702,CCO,-113.88888888888889,
702,CCO,-113.88888888888889,
712,C=O,-92,
712,C=O,-92,
712,C=O,-92,
712,C=O,-92.22222222222223,
712,C=O,-92.22222222222223,
712,C=O,-92.22222222222223,
713,C(=O)N,2.55,
713,C(=O)N,2.55,
713,C(=O)N,2.5,
713,C(=O)N,2.7777777777777777,
713,C(=O)N,2.7777777777777777,
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,112.5,
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,157.4,
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,309,
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,137,
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,113,
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,158.5,
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,309,
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,112.77777777777777,
727,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,112.77777777777777,
743,C(CC(=O)O)CC(=O)O,97.75,
743,C(CC(=O)O)CC(=O)O,95.8,
743,C(CC(=O)O)CC(=O)O,98,
750,C(C(=O)O)N,262.2,
751,C(C(C=O)O)O,145,
753,C(C(CO)O)O,18.1,
753,C(C(CO)O)O,20,
753,C(C(CO)O)O,18,
753,C(C(CO)O)O,17.77777777777778,
756,C(C=O)O,97,
757,C(C(=O)O)O,77.5,
757,C(C(=O)O)O,80,
760,C(=O)C(=O)O,98,
760,C(=O)C(=O)O,-93,
767,C(=O)(O)O,720,
768,C#N,-13.28,
768,C#N,5,
774,C1=C(NC=N1)CCN,83.5,
774,C1=C(NC=N1)CCN,86,
780,C1=CC(=C(C=C1O)CC(=O)O)O,153,
781,C(#N)S,5,
783,[HH],-252.762,
783,[HH],-259.2,
784,OO,-0.43,
784,OO,-0.43,
784,OO,-11.11111111111111,
784,OO,-11.11111111111111,
785,C1=CC(=CC=C1O)O,170.5,
785,C1=CC(=CC=C1O)O,170.5,
785,C1=CC(=CC=C1O)O,172.3,
785,C1=CC(=CC=C1O)O,172,
785,C1=CC(=CC=C1O)O,170,
785,C1=CC(=CC=C1O)O,170,
787,NO,33,
787,NO,33,
787,NO,33,
787,NO,8,
790,C1=NC2=C(N1)C(=O)N=CN2,150,
791,CCC(C)C(C(=O)O)N,275,
795,C1=CN=CN1,89.52,
795,C1=CN=CN1,90.5,
795,C1=CN=CN1,89,
798,C1=CC=C2C(=C1)C=CN2,52,
798,C1=CC=C2C(=C1)C=CN2,52.5,
802,C1=CC=C2C(=C1)C(=CN2)CC(=O)O,168.5,
807,II,113.7,
807,II,113.6,
807,II,114,
807,II,113.33333333333333,
807,II,113.33333333333333,
811,C=C(CC(=O)O)C(=O)O,175,
813,[K+],63.2,
836,C1=CC(=C(C=C1CC(C(=O)O)N)O)O,270,
849,C1CCNC(C1)C(=O)O,264,
863,C1CSSC1CCCCC(=O)N,127.5,
864,C1CSSC1CCCCC(=O)O,47.75,
867,C(C(=O)O)C(=O)O,136,
867,C(C(=O)O)C(=O)O,135,
873,C1=CC=C(C(=C1)CCC(=O)O)O,82.5,
876,CSCCC(C(=O)O)N,281,
878,CS,-123,
878,CS,-123,
878,CS,-123,
878,CS,-123,
878,CS,-121.11111111111111,
887,CO,-97.8,
887,CO,-97.6,
887,CO,-97.77777777777777,
887,CO,-97.77777777777777,
888,[Mg+2],651,
896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,117,
896,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,117,
904,CC(=O)NC1=CC=CC=C1,114.3,
913,CNCC(C1=CC=CC=C1)O,75,
923,[Na+],97.82,
931,C1=CC=C2C=CC=CC2=C1,80.2,
931,C1=CC=C2C=CC=CC2=C1,80.3,
931,C1=CC=C2C=CC=CC2=C1,80,
931,C1=CC=C2C=CC=CC2=C1,80,
934,[Ni+2],1455,
935,[Ni],1555,
935,[Ni],1455,
935,[Ni],1555,
935,[Ni],1555,
935,[Ni],1555,
936,C1=CC(=CN=C1)C(=O)N,128.8,
936,C1=CC(=CN=C1)C(=O)N,130,
936,C1=CC(=CN=C1)C(=O)N,129,
938,C1=CC(=CN=C1)C(=O)O,237.5,
938,C1=CC(=CN=C1)C(=O)O,237,
938,C1=CC(=CN=C1)C(=O)O,236.6,
944,[N+](=O)(O)[O-],-41.6,
944,[N+](=O)(O)[O-],-42.22222222222222,
944,[N+](=O)(O)[O-],-42.22222222222222,
947,N#N,-210.01,
948,[N-]=[N+]=O,-90.8,
948,[N-]=[N+]=O,-90.6,
948,[N-]=[N+]=O,55.55555555555556,
948,[N-]=[N+]=O,-91.11111111111111,
949,CN(C)C1=CC=CC=C1,2.1,
949,CN(C)C1=CC=CC=C1,2.5,
949,CN(C)C1=CC=CC=C1,2.2222222222222223,
949,CN(C)C1=CC=CC=C1,2.2222222222222223,
957,CCCCCCCCO,-14.7,
957,CCCCCCCCO,-15.5,
962,O,0,
962,O,0,
962,O,0,
967,C1=C(NC(=O)NC1=O)C(=O)O,345.5,
967,C1=C(NC(=O)NC1=O)C(=O)O,345.5,
970,C(C(=O)C(=O)O)C(=O)O,161,
971,C(=O)(C(=O)O)O,189.5,
971,C(=O)(C(=O)O)O,188.88888888888889,
977,O=O,-218.4,
977,O=O,-218.4,
977,O=O,-218.33333333333334,
978,C1=CC(=CC=C1C(=O)O)N,188.5,
978,C1=CC(=CC=C1C(=O)O)N,188.5,
979,C1=CC(=CC=C1CC(=O)C(=O)O)O,219.5,
980,C1=CC(=CC=C1[N+](=O)[O-])O,113.5,
980,C1=CC(=CC=C1[N+](=O)[O-])O,113.8,
980,C1=CC(=CC=C1[N+](=O)[O-])O,113.5,
984,CCCCCCCCCCCCCCCC=O,35,
985,CCCCCCCCCCCCCCCC(=O)O,62.49,
985,CCCCCCCCCCCCCCCC(=O)O,61.8,
991,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],6.1,
991,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],6.1,
991,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],6.111111111111111,
991,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],6.111111111111111,
992,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,174,
992,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,174,
992,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,190,
992,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,190,
995,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,99,
995,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,100,
996,C1=CC=C(C=C1)O,40.91,
996,C1=CC=C(C=C1)O,40.9,
996,C1=CC=C(C=C1)O,42.77777777777778,
996,C1=CC=C(C=C1)O,42.77777777777778,
997,C1=CC=C(C=C1)CC(=O)C(=O)O,154,
998,C1=CC=C(C=C1)CC=O,121,
999,C1=CC=C(C=C1)CC(=O)O,76.7,
999,C1=CC=C(C=C1)CC(=O)O,76.7,
1000,C1=CC=C(C=C1)C(CN)O,56.5,
1004,OP(=O)(O)O,42.4,
1004,OP(=O)(O)O,42.5,
1004,OP(=O)(O)O,42,
1004,OP(=O)(O)O,21.1,
1004,OP(=O)(O)O,42.22222222222222,
1004,OP(=O)(O)O,42.22222222222222,
1015,C(COP(=O)(O)O)N,242,
1015,C(COP(=O)(O)O)N,242,
1017,C1=CC=C(C(=C1)C(=O)O)C(=O)O,217.5,
1017,C1=CC=C(C(=C1)C(=O)O)C(=O)O,210.55555555555554,
1018,C1=CC=NC(=C1)C(=O)O,136.5,
1023,OP(=O)(O)OP(=O)(O)O,61,
1030,CC(CO)O,-60,
1030,CC(CO)O,-59,
1030,CC(CO)O,-60,
1031,CCCO,-127,
1031,CCCO,-126.1,
1031,CCCO,-127,
1031,CCCO,-126.66666666666667,
1031,CCCO,-126.66666666666667,
1032,CCC(=O)O,-21.5,
1032,CCC(=O)O,-20.7,
1032,CCC(=O)O,-21,
1032,CCC(=O)O,-21.5,
1032,CCC(=O)O,-15,
1044,C1=C2C(=NC=N1)N=CN2,214,
1045,C(CCN)CN,27.5,
1045,C(CCN)CN,27.5,
1046,C1=CN=C(C=N1)C(=O)N,192,
1046,C1=CN=C(C=N1)C(=O)N,192,
1049,C1=CC=NC=C1,-41.6,
1049,C1=CC=NC=C1,-42,
1049,C1=CC=NC=C1,-42,
1049,C1=CC=NC=C1,-42.22222222222222,
1049,C1=CC=NC=C1,-42.22222222222222,
1050,CC1=NC=C(C(=C1O)C=O)CO,165,
1051,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,255,
1054,CC1=NC=C(C(=C1O)CO)CO,160.5,
1054,CC1=NC=C(C(=C1O)CO)CO,160.5,
1057,C1=CC(=C(C(=C1)O)O)O,133,
1057,C1=CC(=C(C(=C1)O)O)O,133,
1057,C1=CC(=C(C(=C1)O)O)O,132.5,
1060,CC(=O)C(=O)O,13.8,
1066,C1=CC(=C(N=C1)C(=O)O)C(=O)O,228.5,
1066,C1=CC(=C(N=C1)C(=O)O)C(=O)O,190,
1068,CSC,-98.24,
1068,CSC,-98.3,
1068,CSC,-98,
1068,CSC,-97.77777777777777,
1080,C(C(C(=O)O)N)SCC(=O)O,205.5,
1081,CC(CC(=O)O)(C(=O)O)O,109,
1088,CNCC(=O)O,208,
1089,O[Se](=O)(=O)O,58,
1103,C(CCNCCCN)CNCCCN,29,
1110,C(CC(=O)O)C(=O)O,188,
1110,C(CC(=O)O)C(=O)O,186.5,
1118,OS(=O)(=O)O,10.31,
1118,OS(=O)(=O)O,10,
1118,OS(=O)(=O)O,10.555555555555555,
1118,OS(=O)(=O)O,10.555555555555555,
1119,O=S=O,-75.5,
1119,O=S=O,-75.48,
1119,O=S=O,-75.5,
1119,O=S=O,-75.55555555555556,
1119,O=S=O,-75.55555555555556,
1123,C(CS(=O)(=O)O)N,300,
1127,C1CCSC1,-96.16,
1127,C1CCSC1,-96.2,
1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,164,
1130,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,248,
1133,C(C(=O)O)S,-16.5,
1133,C(C(=O)O)S,-16.5,
1133,C(C(=O)O)S,-16.5,
1133,C(C(=O)O)S,-16.666666666666668,
1135,CC1=CNC(=O)NC1=O,320,
1140,CC1=CC=CC=C1,-94.9,
1140,CC1=CC=CC=C1,-95,
1140,CC1=CC=CC=C1,-95,
1140,CC1=CC=CC=C1,-95,
1140,CC1=CC=CC=C1,-95,
1145,C[N+](C)(C)[O-],97,
1146,CN(C)C,-117.08,
1146,CN(C)C,-117.1,
1146,CN(C)C,-117,
1146,CN(C)C,-3,
1146,CN(C)C,-117.22222222222223,
1146,CN(C)C,-117.22222222222223,
1148,C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N,293,
1150,C1=CC=C2C(=C1)C(=CN2)CCN,116.5,
1174,C1=CNC(=O)NC1=O,330,
1176,C(=O)(N)N,132.7,
1176,C(=O)(N)N,132,
1176,C(=O)(N)N,133.85,
1183,COC1=C(C=CC(=C1)C=O)O,82,
1183,COC1=C(C=CC(=C1)C=O)O,81.5,
1183,COC1=C(C=CC(=C1)C=O)O,82,
1198,C(C(C(C(=O)O)O)C(=O)O)C(=O)O,163.5,
1237,COC1=C(C=CC(=C1)C(CN)O)O,204,
1254,CC1CCC(C(C1)O)C(C)C,-8,
1256,CC(=C)C1CCC(=CC1)C(=O)O,60,
1322,CNNC,-9,
1322,CNNC,-9,
1374,C1C(C(C(C(N1)CO)O)O)O,206,
1388,CN1CCC(=CC1)C2=CC=CC=C2,41,
1474,C1=CC=NC(=C1)C2=CC=CC=N2,72,
1474,C1=CC=NC(=C1)C2=CC=CC=N2,70,
1480,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,153,
1480,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,157.77777777777777,
1480,C1=C(C(=CC(=C1Cl)Cl)Cl)OCC(=O)O,152.77777777777777,
1483,C1=C(C=C(C(=C1Br)O)Br)Br,95,
1483,C1=C(C=C(C(=C1Br)O)Br)Br,88,
1483,C1=C(C=C(C(=C1Br)O)Br)Br,95.5,
1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,138,
1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,140.5,
1486,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,140,
